Ano,Mes,Confirmados,Obitos,Notificacoes
2015,1,0,0,9
2015,2,0,0,16
2015,3,3,0,33
2015,4,1,0,23
2015,5,3,0,11
2015,6,0,0,2
2015,7,0,0,1
2015,8,0,0,3
2015,9,0,0,1
2015,10,0,0,1
2015,11,0,0,4
2015,12,2,0,18
2016,1,9,0,55
2016,2,71,0,155
2016,3,129,0,248
2016,4,115,0,128
2016,5,17,0,19
2016,7,0,0,5
2016,8,0,0,1
2016,9,0,0,7
2016,10,0,0,14
2016,11,0,0,16
2016,12,0,0,20
2017,1,0,0,43
2017,2,0,0,17
2017,3,0,0,7
2017,4,0,0,6
2017,5,0,0,2
2017,7,0,0,2
2017,8,0,0,1
2017,10,0,0,4
2017,11,0,0,3
2017,12,0,0,5
2018,1,0,0,9
2018,2,0,0,6
2018,3,0,0,8
2018,4,0,0,10
2018,5,0,0,2
2018,8,0,0,1
2018,9,1,0,2
2018,10,0,0,2
2018,12,0,0,2
2019,1,0,0,2
2019,2,0,0,2
2019,3,3,0,12
2019,4,15,0,24
2019,5,47,0,107
2019,6,14,0,59
2019,7,0,0,7
2019,8,0,0,3
2019,9,0,0,3
2019,10,0,0,1
2019,11,0,0,8
2019,12,0,0,8
2020,1,1,0,10
2020,2,6,0,23
2020,3,23,0,79
2020,4,41,0,82
2020,5,16,0,55
2020,6,2,0,23
2020,7,1,0,13
2020,8,1,0,9
2020,9,0,0,5
2020,10,0,0,20
2020,11,0,0,23
2020,12,4,0,28
2021,1,3,0,37
2021,2,4,0,32
2021,3,7,0,20
2021,4,13,0,37
2021,5,1,0,12
2021,6,1,0,4
2021,7,0,0,3
2021,8,0,0,4
2021,9,0,0,1
2021,10,0,0,14
2021,11,0,0,7
2021,12,0,0,17
2022,1,1,0,13
2022,2,11,0,24
2022,3,47,0,95
2022,4,59,0,238
2022,5,37,0,246
2022,6,1,0,25
2022,7,0,0,19
2022,8,1,0,7
2022,9,0,0,6
2022,10,0,0,9
2022,11,2,0,15
2022,12,0,0,7
2023,1,4,0,22
2023,2,65,0,92
2023,3,842,1,1204
2023,4,2435,4,3153
2023,5,1072,3,1497
2023,6,252,1,375
2023,7,48,0,89
2023,8,9,0,39
2023,9,3,0,43
2023,10,2,0,61
2023,11,2,0,43
2023,12,5,0,33
2024,1,12,0,48
2024,2,26,0,144
2024,3,249,0,698
2024,4,626,2,1339
2024,5,494,0,1357
2024,6,0,0,16
