Ano,Semana Epidemiologica,Confirmados,Obitos,Notificacoes
2015,1,0,0,3
2015,2,0,0,1
2015,3,0,0,3
2015,4,0,0,2
2015,5,0,0,3
2015,6,0,0,6
2015,7,0,0,3
2015,8,0,0,4
2015,9,0,0,2
2015,10,0,0,5
2015,11,0,0,9
2015,12,3,0,9
2015,13,0,0,8
2015,14,0,0,4
2015,15,1,0,11
2015,16,0,0,3
2015,17,0,0,5
2015,18,0,0,4
2015,19,1,0,3
2015,20,0,0,1
2015,21,2,0,3
2015,25,0,0,2
2015,27,0,0,1
2015,31,0,0,1
2015,33,0,0,1
2015,34,0,0,1
2015,38,0,0,1
2015,41,0,0,1
2015,44,0,0,2
2015,46,0,0,1
2015,48,0,0,1
2015,49,0,0,2
2015,50,1,0,3
2015,51,0,0,1
2015,52,1,0,12
2016,1,1,0,9
2016,2,0,0,4
2016,3,3,0,15
2016,4,3,0,11
2016,5,2,0,16
2016,6,1,0,12
2016,7,10,0,49
2016,8,27,0,46
2016,9,33,0,48
2016,10,37,0,64
2016,11,37,0,71
2016,12,28,0,64
2016,13,27,0,49
2016,14,33,0,40
2016,15,26,0,27
2016,16,30,0,32
2016,17,26,0,29
2016,18,10,0,12
2016,19,5,0,5
2016,20,2,0,2
2016,27,0,0,1
2016,30,0,0,2
2016,31,0,0,2
2016,34,0,0,1
2016,36,0,0,2
2016,37,0,0,1
2016,39,0,0,4
2016,41,0,0,4
2016,42,0,0,5
2016,43,0,0,1
2016,44,0,0,4
2016,46,0,0,5
2016,47,0,0,3
2016,48,0,0,8
2016,49,0,0,8
2016,50,0,0,5
2016,51,0,0,2
2016,52,0,0,5
2017,1,0,0,6
2017,2,0,0,12
2017,3,0,0,12
2017,4,0,0,6
2017,5,0,0,7
2017,6,0,0,4
2017,7,0,0,4
2017,8,0,0,3
2017,9,0,0,6
2017,10,0,0,3
2017,11,0,0,1
2017,12,0,0,2
2017,13,0,0,1
2017,14,0,0,3
2017,15,0,0,1
2017,18,0,0,2
2017,20,0,0,2
2017,28,0,0,1
2017,30,0,0,1
2017,35,0,0,1
2017,41,0,0,1
2017,44,0,0,3
2017,45,0,0,1
2017,47,0,0,1
2017,48,0,0,1
2017,50,0,0,1
2017,51,0,0,4
2018,1,0,0,1
2018,2,0,0,3
2018,3,0,0,3
2018,4,0,0,2
2018,5,0,0,2
2018,6,0,0,1
2018,7,0,0,1
2018,8,0,0,2
2018,9,0,0,1
2018,10,0,0,2
2018,11,0,0,2
2018,12,0,0,3
2018,13,0,0,1
2018,14,0,0,2
2018,15,0,0,2
2018,16,0,0,3
2018,17,0,0,2
2018,18,0,0,2
2018,31,0,0,1
2018,36,1,0,1
2018,39,0,0,1
2018,41,0,0,2
2018,48,0,0,1
2018,49,0,0,1
2019,2,0,0,1
2019,3,0,0,1
2019,5,0,0,1
2019,8,0,0,1
2019,9,0,0,2
2019,10,1,0,2
2019,11,1,0,3
2019,12,1,0,1
2019,13,0,0,4
2019,15,1,0,4
2019,16,6,0,7
2019,17,8,0,13
2019,18,3,0,10
2019,19,13,0,25
2019,20,24,0,44
2019,21,7,0,28
2019,22,4,0,17
2019,23,0,0,10
