Ano,Semana Epidemiologica,Cid IBGE,CRS,Nome Municipio,Sexo,Faixa Etaria,Raca Cor,Obitos,Investigacao,Descartados,Inconclusivos,Autoctones,Confirmados,Notificacoes
2019,21,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,3,0,0,0,3
2015,13,431020,17,Ijuí,M,De 20 a 29 anos,Ignorada,0,0,2,0,0,0,2
2015,1,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,1,0,0,0,1
2015,11,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2016,16,431020,17,Ijuí,F,De 70 a 79 anos,Parda,0,0,0,0,2,2,2
2016,11,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,0,0,1,1,1
2016,19,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,0,0,1,1,1
2016,14,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,2,0,4,4,6
2016,15,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,0,0,2,2,2
2015,46,431020,17,Ijuí,F,De 50 a 59 anos,Preta,0,0,1,0,0,0,1
2015,15,431020,17,Ijuí,F,De 50 a 59 anos,Ignorada,0,0,1,0,0,0,1
2015,44,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2016,34,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2016,1,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2016,8,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,0,0,6,6,6
2016,16,431020,17,Ijuí,M,De 40 a 49 anos,Ignorada,0,0,0,0,1,1,1
2016,10,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,0,0,2,2,2
2016,12,431020,17,Ijuí,F,De 20 a 29 anos,Ignorada,0,0,1,0,0,0,1
2016,4,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2016,12,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,0,0,2,2,2
2016,15,431020,17,Ijuí,F,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2016,9,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,2,2,3
2016,12,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,1,0,2,2,3
2016,10,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,3,3,4
2016,9,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,2,2,3
2016,8,431020,17,Ijuí,M,De 01 a 04 anos,Branca,0,0,1,0,0,0,1
